Distrito,m^2,Habitaciones,Precios
Ciutat Vella,63,1,285000
Eixample,103,4,369000
Sant Andreu,67,3,240000
Sant Martí,92,3,359000
Sant Martí,206,5,874800
Sarrià-Sant Gervasi,214,4,1750000
Eixample,58,1,145000
Les Corts,96,4,385000
Horta-Guinardó,69,2,270000
Sant Martí,94,3,295000
Sant Martí,92,4,210000
Eixample,105,3,499000
Gràcia,76,3,295000
Sarrià-Sant Gervasi,140,4,670000
Eixample,93,4,345000
Eixample,70,3,280000
Horta-Guinardó,65,3,199000
Ciutat Vella,78,3,266000
Sant Martí,80,2,560000
Horta-Guinardó,88,3,230000
Eixample,128,3,850000
Horta-Guinardó,85,2,210000
Les Corts,86,4,420000
Eixample,115,3,995000
Sants-Montjuïc,75,3,215000
Nou Barris,68,3,200000
Les Corts,95,4,570000
Eixample,118,3,610000
Les Corts,131,4,449000
Eixample,140,3,675000
Sant Andreu,74,2,200000
Les Corts,100,4,560000
Gràcia,107,3,500000
Sarrià-Sant Gervasi,101,2,800000
Sant Andreu,75,3,199000
Sant Andreu,119,4,279900
Gràcia,200,4,770000
Eixample,97,4,375000
Ciutat Vella,145,3,450000
Eixample,86,2,420000
Ciutat Vella,89,3,450000
Sarrià-Sant Gervasi,120,3,660000
Ciutat Vella,29,1,119000
Ciutat Vella,67,3,230000
Sarrià-Sant Gervasi,85,3,445000
Horta-Guinardó,58,2,284000
Sants-Montjuïc,69,3,310000
Sant Andreu,69,3,259000
Sants-Montjuïc,62,3,215000
Sant Martí,56,3,199000
Eixample,53,1,260000
Gràcia,220,3,950000
Sants-Montjuïc,112,4,379000
Ciutat Vella,143,4,410000
Les Corts,95,2,530500
Les Corts,100,2,630000
Les Corts,102,2,550000
Gràcia,88,2,646000
Ciutat Vella,153,3,570000
Les Corts,215,4,1050000
Gràcia,88,2,440000
Sarrià-Sant Gervasi,220,3,890000
Eixample,46,1,297000
Sarrià-Sant Gervasi,234,3,1100000
Sants-Montjuïc,50,2,290000
Sarrià-Sant Gervasi,149,4,960000
Ciutat Vella,86,3,359000
Ciutat Vella,81,2,440000
Sarrià-Sant Gervasi,280,4,2750000
Ciutat Vella,219,2,1280000
Sarrià-Sant Gervasi,323,4,1890000
Sant Martí,136,3,890000
Ciutat Vella,103,2,680000
Gràcia,120,4,499000
Eixample,91,2,375000
Sant Martí,56,1,432000
Sant Martí,58,2,435000
Sarrià-Sant Gervasi,546,6,1750000
Ciutat Vella,318,2,2500000
Sarrià-Sant Gervasi,265,3,2750000
Sarrià-Sant Gervasi,380,6,1850000
Sarrià-Sant Gervasi,376,5,1150000
Les Corts,750,8,5800000
Sarrià-Sant Gervasi,191,4,1175000
Sarrià-Sant Gervasi,300,6,1550000
Sants-Montjuïc,106,3,417000
Sant Martí,147,3,960000
Ciutat Vella,137,2,370000
Sarrià-Sant Gervasi,256,4,1295000
Les Corts,598,5,2490000
Gràcia,95,1,575000
Sants-Montjuïc,87,2,460000
Sants-Montjuïc,100,2,649000
Sarrià-Sant Gervasi,585,5,2350000
Eixample,72,3,390000
Sarrià-Sant Gervasi,555,4,2150000
Sants-Montjuïc,50,2,189000
Sants-Montjuïc,62,2,235000
Nou Barris,56,2,295800
Horta-Guinardó,197,4,480000
Nou Barris,75,3,276000
Gràcia,582,5,1690000
Sant Andreu,80,2,340000
Ciutat Vella,95,3,345000
Eixample,90,3,350000
Sants-Montjuïc,95,3,299000
Eixample,80,2,255000
Les Corts,131,3,564900
Sants-Montjuïc,87,2,315000
Eixample,82,4,310000
Gràcia,95,4,359900
Ciutat Vella,63,3,235000
Sant Andreu,93,4,329000
Eixample,117,4,280000
Sants-Montjuïc,100,4,300000
Sants-Montjuïc,93,4,335000
Eixample,61,3,299000
Horta-Guinardó,90,3,230000
Horta-Guinardó,91,3,415000
Sants-Montjuïc,41,1,215000
Sarrià-Sant Gervasi,71,3,359000
Sants-Montjuïc,47,1,280000
Eixample,91,2,690000
Gràcia,130,4,575000
Sant Martí,82,3,239900
Ciutat Vella,55,2,225000
Eixample,81,2,420000
Eixample,69,2,379000
Sant Martí,130,3,435000
Eixample,131,5,550000
Les Corts,139,4,840000
Eixample,73,3,300000
Sants-Montjuïc,90,3,199000
Horta-Guinardó,69,4,198000
Sant Andreu,70,2,285000
Sarrià-Sant Gervasi,250,3,1100000
Sant Martí,131,3,260000
Gràcia,107,3,495000
Horta-Guinardó,46,3,195000
Sarrià-Sant Gervasi,176,4,740000
Sant Martí,135,3,575000
Eixample,72,3,369000
Gràcia,70,3,400000
Ciutat Vella,221,4,1690000
Sant Martí,72,3,295000
Sants-Montjuïc,114,4,410000
Sarrià-Sant Gervasi,251,5,1630000
Eixample,121,3,595000
Ciutat Vella,55,2,160000
Ciutat Vella,133,4,495000
Sant Martí,75,2,398000
Ciutat Vella,90,1,800000
Sant Martí,66,2,169000
Sant Martí,105,3,695000
Eixample,96,4,350000
Sarrià-Sant Gervasi,290,4,1690000
Sarrià-Sant Gervasi,264,5,3500000
Sarrià-Sant Gervasi,82,3,550000
Eixample,183,5,699000
Eixample,91,3,375000
Eixample,85,1,329000
Sarrià-Sant Gervasi,198,2,1280000
Ciutat Vella,83,3,395000
Les Corts,314,5,2400000
Sant Martí,115,3,1090000
Les Corts,218,4,2250000
Sarrià-Sant Gervasi,130,3,1290000
Sants-Montjuïc,80,4,280000
Les Corts,686,6,4600000
Ciutat Vella,118,2,495000
Gràcia,582,3,1690000
Sarrià-Sant Gervasi,374,5,1950000
Sarrià-Sant Gervasi,281,5,1500000
Sarrià-Sant Gervasi,160,4,875000
Ciutat Vella,35,2,190000
Gràcia,49,2,245000
Eixample,84,4,299000
Sarrià-Sant Gervasi,412,5,2100000
Nou Barris,55,2,170000
Horta-Guinardó,40,1,198000
Sant Martí,175,3,1130000
Sant Martí,73,2,375000
Sarrià-Sant Gervasi,500,7,2950000
Sarrià-Sant Gervasi,355,6,2300000
Sarrià-Sant Gervasi,257,5,1650000
Sants-Montjuïc,334,4,797000
Sarrià-Sant Gervasi,111,4,495000
Eixample,147,3,1850000
Eixample,180,3,765000
Sarrià-Sant Gervasi,545,9,3900000
Eixample,112,3,499000
Eixample,123,3,1190000
Eixample,80,2,650000
Eixample,77,4,340000
Sants-Montjuïc,150,3,239000
Sant Martí,71,3,179000
Sant Andreu,104,3,588000
Sant Andreu,56,2,242000
Sant Andreu,104,3,523000
Sant Andreu,62,3,188000
Sant Martí,77,3,325000
Sarrià-Sant Gervasi,120,1,380000
Eixample,600,4,12000000
Nou Barris,49,2,167000
Eixample,63,2,195000
Les Corts,95,2,480000
Sants-Montjuïc,75,3,250000
Sants-Montjuïc,76,3,269000
Sant Martí,75,4,195000
Sant Martí,73,3,399000
Sants-Montjuïc,60,2,260000
Eixample,133,3,850000
Gràcia,79,3,445000
Ciutat Vella,40,1,170000
Ciutat Vella,59,2,230000
Les Corts,234,5,840000
Ciutat Vella,61,2,227000
Ciutat Vella,49,1,180000
Sant Martí,93,3,375000
Sant Martí,90,3,285000
Eixample,109,4,460000
Sants-Montjuïc,60,3,220000
Eixample,156,2,1900000
Eixample,149,2,1200000
Eixample,149,2,1325000
Eixample,113,3,415000
Gràcia,93,4,350000
Eixample,97,5,440000
Sant Martí,85,3,290000
Horta-Guinardó,132,6,389000
Sant Andreu,101,4,298000
Sants-Montjuïc,63,2,310000
Sants-Montjuïc,91,3,430000
Eixample,75,2,363400
Eixample,88,3,445500
Eixample,80,2,319000
Sants-Montjuïc,91,3,340000
Sant Martí,75,2,395000
Eixample,109,3,445000
Nou Barris,65,3,135000
Sarrià-Sant Gervasi,220,5,1100000
Ciutat Vella,85,2,234000
Sant Martí,86,4,339000
Eixample,87,3,365000
Ciutat Vella,84,4,297069
Eixample,88,3,399000
Sants-Montjuïc,99,3,299800
Sarrià-Sant Gervasi,274,4,839000
Gràcia,137,3,575000
Les Corts,95,2,479000
Ciutat Vella,34,1,165000
Sant Martí,70,2,420000
Sants-Montjuïc,86,4,335000
Sants-Montjuïc,79,3,253000
Eixample,63,2,350000
Gràcia,70,2,319000
Sant Martí,74,3,260000
Horta-Guinardó,58,3,196000
Gràcia,64,2,275000
Gràcia,56,1,320000
Ciutat Vella,71,3,195000
Sant Martí,67,3,289000
Eixample,122,4,415000
Sant Martí,91,3,290000
Les Corts,210,5,1030000
Sants-Montjuïc,62,3,250000
Eixample,42,1,228000
Ciutat Vella,117,3,840000
Ciutat Vella,76,2,465000
Ciutat Vella,151,2,565000
Ciutat Vella,84,2,475000
Eixample,68,2,470000
Eixample,62,3,385000
Ciutat Vella,75,2,319000
Sarrià-Sant Gervasi,80,3,415000
Eixample,230,4,2300000
Eixample,117,2,595000
Eixample,177,3,890000
Sarrià-Sant Gervasi,391,7,1690000
Eixample,75,2,298000
Eixample,135,4,795000
Gràcia,136,4,475000
Sant Martí,141,3,830000
Sant Martí,75,3,230000
Eixample,132,3,1180000
Eixample,86,1,870000
Gràcia,51,1,350000
Sant Martí,41,1,177000
Ciutat Vella,299,2,3500000
Eixample,139,3,1570000
Horta-Guinardó,54,3,250000
Eixample,85,3,380000
Eixample,140,4,530000
Sarrià-Sant Gervasi,129,4,685000
Ciutat Vella,111,1,550000
Nou Barris,66,3,295000
Sarrià-Sant Gervasi,73,1,310000
Sant Martí,83,2,235000
Sants-Montjuïc,68,3,152000
Sant Martí,76,3,169000
Gràcia,68,2,245000
Sants-Montjuïc,126,4,359000
Ciutat Vella,75,2,280000
Sarrià-Sant Gervasi,86,2,400000
Ciutat Vella,64,2,200000
Nou Barris,68,3,200000
Sants-Montjuïc,110,4,360000
Nou Barris,55,2,170000
Les Corts,144,4,670000
Sant Martí,84,2,425000
Nou Barris,125,2,449000
Sant Martí,179,3,538000
Sarrià-Sant Gervasi,131,5,650000
Nou Barris,68,3,141000
Sant Martí,77,3,169000
Eixample,96,2,439000
Sant Andreu,76,3,218000
Sant Andreu,89,4,264000
Sant Martí,117,3,568000
Sant Andreu,68,3,139000
Sarrià-Sant Gervasi,300,5,3500000
Sant Andreu,79,2,239000
Sarrià-Sant Gervasi,90,2,800000
Eixample,203,3,1790000
Nou Barris,94,4,305000
Sants-Montjuïc,95,2,367000
Les Corts,94,3,425000
Ciutat Vella,158,4,540000
Sarrià-Sant Gervasi,353,4,3100000
Les Corts,121,4,595000
Eixample,73,4,267000
Sarrià-Sant Gervasi,116,3,395000
Les Corts,800,6,6500000
Ciutat Vella,66,2,425000
Sants-Montjuïc,70,2,460000
Eixample,62,2,500000
Sants-Montjuïc,70,2,445000
Eixample,94,3,500000
Ciutat Vella,49,1,197500
Eixample,65,1,340000
Sant Martí,110,2,644000
Les Corts,147,5,695000
Gràcia,89,2,470000
Sarrià-Sant Gervasi,177,3,1000000
Eixample,142,4,595000
Horta-Guinardó,70,3,209000
Eixample,201,4,1360000
Eixample,89,2,400000
Ciutat Vella,117,2,470000
Ciutat Vella,90,2,445000
Eixample,90,4,375000
Eixample,120,2,795000
Sants-Montjuïc,129,3,446000
Eixample,70,4,255000
Sant Andreu,159,2,399900
Ciutat Vella,130,2,710000
Eixample,92,3,360000
Nou Barris,55,2,170000
Eixample,75,2,435000
Eixample,68,1,330000
Ciutat Vella,60,3,249000
Eixample,60,4,210000
Les Corts,120,4,498000
Gràcia,70,2,428000
Sant Martí,106,4,545000
Ciutat Vella,88,2,285000
Sant Martí,170,4,453000
Les Corts,108,4,430000
Gràcia,63,2,265000
Sant Andreu,110,3,309000
Eixample,159,5,840000
Eixample,96,3,342000
Sants-Montjuïc,77,4,295000
Nou Barris,55,3,87000
Sant Martí,85,4,298000
Nou Barris,70,3,140000
Gràcia,63,2,295000
Eixample,118,3,570000
Eixample,200,4,1650000
Sant Martí,91,4,285000
Eixample,117,4,655000
Eixample,121,2,1000000
Eixample,152,3,1550000
Eixample,73,2,395000
Eixample,146,4,595000
Horta-Guinardó,55,3,199000
Gràcia,99,2,375000
Sants-Montjuïc,111,3,550000
Sant Martí,273,4,1130000
Sants-Montjuïc,70,3,299000
Sarrià-Sant Gervasi,91,2,585000
Sant Martí,73,3,218000
Ciutat Vella,53,2,235000
Sarrià-Sant Gervasi,175,4,1050000
Sant Martí,66,2,199000
Ciutat Vella,166,3,1200000
Ciutat Vella,172,4,1115000
Ciutat Vella,72,2,590000
Sant Martí,105,2,375000
Sarrià-Sant Gervasi,185,5,950000
Sant Martí,48,2,209000
Les Corts,79,3,295000
Sants-Montjuïc,79,3,235000
Les Corts,120,4,595000
Sants-Montjuïc,72,3,295000
Gràcia,364,4,1149000
Les Corts,104,4,530000
Ciutat Vella,58,1,310000
Sants-Montjuïc,70,2,331000
Sarrià-Sant Gervasi,105,2,490000
Sant Andreu,65,3,219000
Les Corts,89,2,525000
Gràcia,65,3,255000
Eixample,70,4,259000
Ciutat Vella,102,4,350000
Eixample,126,3,698000
Sarrià-Sant Gervasi,103,3,460000
Les Corts,63,2,450000
Gràcia,228,4,680000
Les Corts,68,3,490000
Gràcia,60,2,365000
Sarrià-Sant Gervasi,90,2,478000
Eixample,87,2,470000
Eixample,84,2,630000
Gràcia,51,1,315400
Gràcia,53,1,342950
Eixample,117,4,550000
Eixample,71,2,540000
Les Corts,82,3,359000
Ciutat Vella,175,4,1145000
Sants-Montjuïc,98,3,435000
Eixample,214,5,3000000
Les Corts,255,6,2275000
Sants-Montjuïc,61,2,299500
Les Corts,226,5,1140000
Sant Martí,132,4,1980000
Sant Andreu,80,4,225000
Ciutat Vella,77,1,460000
Gràcia,35,1,134000
Ciutat Vella,106,2,600000
Sants-Montjuïc,80,3,245000
Ciutat Vella,95,4,380000
Sarrià-Sant Gervasi,54,1,209000
Sant Martí,101,4,230000
Sarrià-Sant Gervasi,56,2,285000
Gràcia,75,2,305000
Sarrià-Sant Gervasi,95,2,510000
Sarrià-Sant Gervasi,232,4,1750000
Sant Andreu,50,2,255000
Les Corts,110,2,335000
Ciutat Vella,95,5,220000
Les Corts,92,4,420708
Horta-Guinardó,64,3,290000
Sarrià-Sant Gervasi,331,5,1570000
Sant Martí,71,3,188000
Sant Martí,170,4,453000
Nou Barris,77,3,139900
Gràcia,85,2,410000
Gràcia,123,3,375000
Sarrià-Sant Gervasi,165,5,860000
Ciutat Vella,85,3,260000
Les Corts,83,4,350000
Eixample,113,3,530000
Eixample,83,2,250000
Sarrià-Sant Gervasi,121,3,600000
Sarrià-Sant Gervasi,120,4,509000
Eixample,91,2,600000
Eixample,160,4,760000
Gràcia,108,2,530000
Sarrià-Sant Gervasi,90,3,695000
Sarrià-Sant Gervasi,118,3,921000
Sarrià-Sant Gervasi,87,2,725000
Sant Martí,81,2,411000
Sarrià-Sant Gervasi,51,1,403000
Sant Martí,89,1,577500
Sant Martí,95,1,617000
Sant Martí,63,1,378500
Sant Martí,76,2,426000
Sant Martí,96,3,473500
Eixample,105,3,1269000
Eixample,105,3,1075000
Eixample,210,4,1879000
Nou Barris,83,3,418200
Sarrià-Sant Gervasi,124,3,795000
Sarrià-Sant Gervasi,62,1,445000
Sarrià-Sant Gervasi,62,1,420000
Sant Martí,201,5,860000
Sant Martí,206,5,874800
Les Corts,102,2,550000
Les Corts,95,2,530500
Les Corts,100,2,630000
Gràcia,88,2,646000
Nou Barris,56,2,295800
Eixample,150,2,2158000
Eixample,85,2,858000
Eixample,192,2,2188000
Sarrià-Sant Gervasi,102,2,845000
Sarrià-Sant Gervasi,106,2,880000
Sarrià-Sant Gervasi,106,2,1035000
Horta-Guinardó,116,3,435000
Ciutat Vella,76,2,465000
Ciutat Vella,151,2,565000
Ciutat Vella,84,2,475000
Sants-Montjuïc,79,1,355000
Sants-Montjuïc,69,2,331000
Sants-Montjuïc,69,2,337000
Eixample,76,2,490000
Eixample,76,2,505000
Eixample,77,2,495000
Eixample,50,1,295000
Eixample,50,1,315000
Eixample,68,2,375000
Ciutat Vella,172,4,1115000
Ciutat Vella,72,2,590000
Ciutat Vella,166,3,1200000
Gràcia,51,1,315400
Gràcia,53,1,342950
Eixample,60,2,370000
Eixample,60,2,380000
Eixample,60,2,365000
Sant Martí,66,2,400000
Sant Martí,96,3,560000
Sant Martí,96,3,545000
Sant Martí,124,3,575700
Sant Martí,71,1,341000
Sant Martí,122,2,548400
Sarrià-Sant Gervasi,45,1,440000
Sarrià-Sant Gervasi,50,1,520000
Sarrià-Sant Gervasi,45,1,407000
Eixample,159,4,820000
Eixample,78,2,435000
Eixample,149,3,745000
Nou Barris,66,2,331500
Ciutat Vella,50,1,322000
Ciutat Vella,62,2,478000
Ciutat Vella,59,1,352000
Sarrià-Sant Gervasi,101,3,775000
Sarrià-Sant Gervasi,95,2,820000
Sarrià-Sant Gervasi,91,3,749000
Gràcia,94,3,595000
Gràcia,53,1,309000
Gràcia,72,2,470000
Eixample,55,1,367200
Eixample,55,1,345600
Eixample,55,1,356400
Eixample,89,3,540000
Eixample,89,3,530000
Eixample,72,2,580000
Eixample,111,3,1095000
Eixample,105,3,1475000
Sant Andreu,102,4,430000
Sant Martí,67,1,359000
Sarrià-Sant Gervasi,69,2,608000
Sarrià-Sant Gervasi,70,2,599000
Sarrià-Sant Gervasi,69,2,583000
Horta-Guinardó,91,3,425000
Horta-Guinardó,91,3,415000
Sant Martí,86,2,469000
Horta-Guinardó,114,3,430000
Horta-Guinardó,116,3,415000
Sants-Montjuïc,68,2,242400
Sants-Montjuïc,50,1,180610
Sants-Montjuïc,84,3,291700
Sants-Montjuïc,72,2,335000
Sant Andreu,56,2,258000
Sant Andreu,56,2,262000
Gràcia,99,4,395000
Gràcia,86,3,355000
Gràcia,50,1,250000
Nou Barris,55,2,234000
Nou Barris,62,2,253000
Nou Barris,47,1,199000
Sant Martí,96,3,610000
Horta-Guinardó,83,3,455000
Horta-Guinardó,81,3,430000
Sants-Montjuïc,87,2,420000
Sants-Montjuïc,69,2,335000
Sants-Montjuïc,82,2,400000
Gràcia,74,2,420000
Gràcia,68,3,410000
Gràcia,75,2,415000
Sant Andreu,85,3,355000
Sant Andreu,102,3,430000
Nou Barris,101,4,350000
Nou Barris,107,4,450000
Nou Barris,52,2,270000
Horta-Guinardó,64,2,375000
Eixample,204,4,2975000
Eixample,144,4,1980000
Horta-Guinardó,100,2,570000
Horta-Guinardó,121,4,625000
Horta-Guinardó,121,4,660000
Horta-Guinardó,113,3,600000
Nou Barris,68,2,382500
Nou Barris,81,3,433500
Horta-Guinardó,100,2,475000
Horta-Guinardó,100,2,515000
Horta-Guinardó,113,3,515000
Horta-Guinardó,121,4,595000
Sarrià-Sant Gervasi,132,2,865000
Les Corts,100,2,695000
Sant Andreu,73,2,328000
Sant Andreu,65,2,324000
Sant Andreu,63,1,369000
Sant Martí,84,2,425000
Sant Martí,104,3,376000
Sant Martí,99,3,480000
Sant Martí,190,3,597000
Les Corts,89,2,692000
Les Corts,134,2,670000
Nou Barris,66,2,336600
Nou Barris,56,2,331500
Eixample,134,1,495000
Eixample,138,3,795000
Eixample,189,3,1090000
Sarrià-Sant Gervasi,158,2,900000
Sarrià-Sant Gervasi,160,2,910000
Eixample,128,1,780000
Eixample,160,2,970000
Eixample,195,2,2158000
Eixample,145,2,2188000
Eixample,158,3,1368000
Sarrià-Sant Gervasi,134,3,1395000
Sarrià-Sant Gervasi,138,3,1370000
Sarrià-Sant Gervasi,115,2,1130000
Sant Andreu,105,3,462000
Sant Andreu,104,3,457000
Sant Andreu,104,3,523000
Sant Andreu,56,2,242000
Sants-Montjuïc,109,3,467000
Sant Martí,151,4,833900
Ciutat Vella,128,2,595000
Nou Barris,70,2,377400
Horta-Guinardó,113,3,474000
Horta-Guinardó,121,3,445000
Sant Martí,100,4,533000
Ciutat Vella,80,2,475000
Horta-Guinardó,110,3,395000
Ciutat Vella,71,2,485000
Ciutat Vella,71,2,475000
Ciutat Vella,150,2,565000
Ciutat Vella,84,2,465000
Horta-Guinardó,88,3,432500
Horta-Guinardó,97,3,530000
Horta-Guinardó,92,3,526500
Horta-Guinardó,88,3,502500
Sant Martí,95,4,499000
Sant Martí,66,2,340000
Sant Martí,67,2,315000
Sant Andreu,51,1,279000
Ciutat Vella,95,2,592000
Ciutat Vella,95,2,591000
Ciutat Vella,80,2,498000
Ciutat Vella,92,2,474000
Ciutat Vella,53,1,339000
Ciutat Vella,77,3,416000
Ciutat Vella,66,1,380000
Ciutat Vella,51,1,322000
Ciutat Vella,100,2,481000
Sant Martí,148,2,698000
Sant Martí,85,2,565000
Sant Martí,85,2,535000
Sant Martí,110,2,634000
Sant Martí,110,2,644000
Sant Martí,87,2,520000
Sant Martí,85,2,555000
Sants-Montjuïc,69,2,343000
Sants-Montjuïc,88,2,399000
Sants-Montjuïc,115,3,489000
Sants-Montjuïc,81,2,375000
Sants-Montjuïc,81,2,389000
Sants-Montjuïc,128,4,545000
Sants-Montjuïc,81,2,382000
Eixample,75,2,510000
Eixample,75,2,655000
Eixample,75,2,650000
Eixample,97,3,550000
Eixample,97,3,540000
Eixample,68,2,380000
Horta-Guinardó,81,3,310000
Ciutat Vella,215,4,1690000
Ciutat Vella,106,2,790000
Les Corts,95,2,550000
Sants-Montjuïc,60,2,375000
Sarrià-Sant Gervasi,150,4,1150000
Eixample,60,2,400000
Sarrià-Sant Gervasi,58,1,385000
Sants-Montjuïc,83,3,437000
Sants-Montjuïc,60,2,325000
Sants-Montjuïc,78,3,360000
Sants-Montjuïc,60,2,337000
Eixample,100,2,720000
Eixample,70,1,465000
Eixample,64,1,425000
Eixample,66,1,430000
Eixample,59,1,385000
Eixample,94,1,600000
Eixample,86,1,545000
Eixample,95,3,565000
Eixample,81,2,595000
Eixample,89,3,530000
Eixample,89,3,540000
Eixample,72,2,580000
Sant Martí,65,2,415000
Sant Martí,62,2,350000
Sant Martí,72,2,475000
Sant Martí,72,2,415000
Sant Martí,62,2,375000
Sant Martí,65,2,395000
Sant Martí,80,3,425000
Sant Martí,103,3,470000
Sant Martí,104,3,496128
Sant Martí,81,2,365000
Sant Martí,112,4,594448
Sant Martí,76,2,360000
Sant Martí,70,1,268000
Eixample,101,2,530000
Les Corts,100,2,670000
Les Corts,76,2,550000
Les Corts,73,2,715000
Les Corts,71,2,530500
Les Corts,65,2,692000
Les Corts,115,2,1600000
Les Corts,71,2,550000
Les Corts,102,2,683000
Eixample,109,2,695000
Eixample,101,2,695000
Eixample,71,1,505000
Eixample,100,2,660000
Eixample,71,1,520000
Eixample,101,2,715000
Eixample,71,1,485000
Gràcia,97,2,510000
Gràcia,75,1,350000
Sants-Montjuïc,88,2,394000
Sarrià-Sant Gervasi,84,2,545000
Sarrià-Sant Gervasi,84,2,530000
Sarrià-Sant Gervasi,82,2,510000
Eixample,120,3,628000
Eixample,120,3,675000
Eixample,120,3,660000
Eixample,120,3,640000
Gràcia,120,3,495000
Sant Martí,56,2,326000
Sant Martí,101,4,545000
Sant Andreu,84,2,430000
Sant Andreu,84,2,360000
Sant Andreu,84,2,340000
Sant Andreu,118,3,480000
Sant Martí,96,3,535000
Sant Martí,96,3,570000
Sant Martí,94,3,537500
Sant Martí,73,2,387125
Sant Martí,66,1,390000
Sant Martí,73,2,375250
Sant Martí,94,3,555000
Sant Martí,66,1,349125
Sant Martí,66,1,358125
Sant Martí,73,2,420000
Sant Martí,66,1,415000
Sant Martí,94,3,482125
Sant Martí,94,3,473575
Horta-Guinardó,98,3,398500
Horta-Guinardó,103,1,262000
Horta-Guinardó,83,2,351500
Sant Martí,158,4,685500
Sant Martí,94,3,474000
Sant Martí,67,2,342000
Sarrià-Sant Gervasi,105,3,1280000
Sarrià-Sant Gervasi,62,2,583000
Sarrià-Sant Gervasi,63,2,561000
Sant Martí,101,3,459000
Sant Martí,92,2,399000
Sant Martí,130,4,570000
Ciutat Vella,58,1,339000
Ciutat Vella,60,2,364000
Ciutat Vella,86,1,462000
Sarrià-Sant Gervasi,57,2,795000
Les Corts,185,2,1600000
Les Corts,99,2,715000
Gràcia,72,2,520000
Gràcia,72,2,495000
Gràcia,94,3,630000
Gràcia,51,1,322000
Gràcia,94,3,615000
Gràcia,61,1,350000
Eixample,64,2,435200
Eixample,55,1,378000
Eixample,64,2,448000
Horta-Guinardó,53,2,255697
Horta-Guinardó,53,2,255697
Horta-Guinardó,53,2,241815
Horta-Guinardó,53,2,247633
Horta-Guinardó,53,2,246467
Eixample,95,3,565000
Eixample,81,2,595000
Sants-Montjuïc,85,2,470000
Sants-Montjuïc,100,2,595000
Sants-Montjuïc,86,2,425000
Sant Martí,78,2,420000
Sant Martí,57,2,296000
Sant Martí,46,1,264000
Sant Martí,48,2,265000
Sant Martí,55,2,256000
Sant Martí,53,2,280000
Sant Martí,77,2,295000
Sant Martí,68,3,315000
Sant Martí,99,4,620000
Ciutat Vella,62,2,440000
Horta-Guinardó,81,3,395000
Horta-Guinardó,78,3,370000
Horta-Guinardó,78,3,360000
Les Corts,122,3,620000
Les Corts,190,3,750000
Les Corts,159,2,560000
Les Corts,114,3,620000
Les Corts,122,3,650000
Les Corts,122,3,590000
Ciutat Vella,131,3,830000
Eixample,113,3,1325000
Sant Andreu,85,3,395000
Sant Andreu,84,3,385000
Sant Andreu,128,4,580000
Sant Andreu,84,3,390000
Horta-Guinardó,113,3,285000
Sant Martí,99,3,643496
Sant Martí,118,3,680434
Sant Martí,109,3,527258
Sant Martí,112,3,695610
Sant Martí,62,2,413729
Sant Martí,68,2,409877
Sant Martí,85,3,545713
Sant Martí,62,2,560204
Sant Martí,62,2,429209
Sant Martí,62,2,387537
Sarrià-Sant Gervasi,572,5,2985000
Gràcia,97,3,506000
Gràcia,92,3,453000
Gràcia,97,3,523000
Gràcia,175,3,826000
Horta-Guinardó,76,2,282000
Sants-Montjuïc,89,3,285000
Sants-Montjuïc,70,2,245000
Sants-Montjuïc,61,2,224000
Sants-Montjuïc,102,4,456000
Horta-Guinardó,79,3,288000
Horta-Guinardó,50,2,220000
Horta-Guinardó,62,3,235000
Horta-Guinardó,63,3,268000
Horta-Guinardó,56,2,238000
Horta-Guinardó,88,4,298000
Horta-Guinardó,56,2,216000
Horta-Guinardó,62,3,258000
Horta-Guinardó,56,2,220000
Horta-Guinardó,86,3,269000
Horta-Guinardó,75,2,283000
Horta-Guinardó,100,3,435000
Horta-Guinardó,50,1,269000
Horta-Guinardó,50,1,259000
Horta-Guinardó,100,3,450000
Sarrià-Sant Gervasi,200,3,2360000
Sarrià-Sant Gervasi,200,3,2360000
Ciutat Vella,82,2,540000
Ciutat Vella,82,2,525000
Ciutat Vella,67,1,475000
Ciutat Vella,82,2,500000
Ciutat Vella,50,1,360000
Ciutat Vella,50,1,335000
Sant Andreu,77,2,345000
Sant Andreu,77,2,425000
Sant Andreu,77,2,355000
Sant Andreu,77,2,340000
Sant Andreu,77,2,340000
Horta-Guinardó,100,2,485000
Horta-Guinardó,94,2,465000
Horta-Guinardó,105,2,367500
Sarrià-Sant Gervasi,69,2,624000
Sarrià-Sant Gervasi,73,2,648000
Sarrià-Sant Gervasi,70,2,624000
Sarrià-Sant Gervasi,69,2,616000
Sarrià-Sant Gervasi,70,2,616000
Sarrià-Sant Gervasi,73,2,639000
Sarrià-Sant Gervasi,69,2,599000
Sarrià-Sant Gervasi,70,2,607000
Sarrià-Sant Gervasi,73,2,683000
Sarrià-Sant Gervasi,69,2,591000
Sant Martí,108,1,703000
Sant Martí,164,1,986500
Sant Martí,153,1,916000
Sant Martí,138,1,826500
Sant Martí,105,1,577000
Sant Martí,76,1,496000
Sant Martí,115,1,630000
Sant Martí,110,1,717000
Sant Martí,151,1,907500
Sant Martí,118,1,648000
Sant Martí,103,1,545000
Sant Martí,63,1,410000
Sant Martí,75,1,452500
Sant Martí,114,4,596000
Sant Martí,67,2,375000
Sant Martí,95,3,499000
Sant Martí,119,4,630000
Sant Andreu,91,4,410000
Sant Andreu,88,3,395000
Sant Andreu,87,3,380000
