Distrito,m^2,Habitaciones,Precios
Sants-Montjuïc,93,3,405000
Sarrià-Sant Gervasi,311,5,990000
Sant Martí,90,3,330000
Eixample,93,3,415000
Sant Martí,91,4,260000
Sants-Montjuïc,86,4,320000
Sant Martí,81,4,270000
Ciutat Vella,63,2,349000
Sarrià-Sant Gervasi,104,3,660000
Les Corts,605,9,4500000
Les Corts,900,7,10000000
Sarrià-Sant Gervasi,224,2,2750000
Gràcia,134,3,780000
Horta-Guinardó,79,3,199520
Les Corts,340,5,2060000
Sarrià-Sant Gervasi,248,5,1950000
Sarrià-Sant Gervasi,474,6,2350000
Nou Barris,104,3,176000
Eixample,78,3,499000
Gràcia,97,3,339000
Les Corts,185,4,860000
Sarrià-Sant Gervasi,107,4,460000
Gràcia,65,2,245000
Les Corts,101,4,437000
Horta-Guinardó,56,1,169000
Sarrià-Sant Gervasi,70,2,385000
Sant Martí,99,3,430000
Sarrià-Sant Gervasi,125,3,590000
Eixample,77,1,350000
Sarrià-Sant Gervasi,120,3,1200000
Ciutat Vella,117,3,540000
Sarrià-Sant Gervasi,242,5,980000
Sarrià-Sant Gervasi,180,4,860000
Sarrià-Sant Gervasi,151,3,690000
Sarrià-Sant Gervasi,151,2,690000
Eixample,100,2,640000
Eixample,95,3,790000
Ciutat Vella,145,3,560000
Gràcia,108,2,530000
Les Corts,82,2,862000
Les Corts,98,2,595000
Eixample,125,2,890000
Les Corts,67,2,365000
Eixample,118,4,650000
Ciutat Vella,140,4,795000
Eixample,85,4,420000
Sarrià-Sant Gervasi,200,5,1400000
Sants-Montjuïc,88,3,365000
Eixample,139,2,595000
Sants-Montjuïc,59,2,255000
Eixample,46,1,165000
Eixample,71,2,369000
Eixample,136,4,745000
Gràcia,99,3,650000
Eixample,99,3,650000
Eixample,800,4,1700000
Eixample,133,3,750000
Eixample,385,3,1450000
Sant Martí,75,3,230000
Eixample,105,2,565000
Sant Martí,62,1,390000
Sant Martí,84,3,290000
Les Corts,101,4,525000
Les Corts,92,3,375000
Les Corts,88,3,365000
Sant Martí,45,2,209000
Eixample,59,1,199900
Horta-Guinardó,250,4,795000
Eixample,85,3,389000
Sant Andreu,87,4,307000
Horta-Guinardó,76,3,269000
Eixample,179,4,765000
Eixample,149,4,710000
Les Corts,51,1,280000
Sarrià-Sant Gervasi,152,4,695000
Eixample,84,3,359000
Sarrià-Sant Gervasi,92,3,598000
Eixample,75,3,365000
Les Corts,49,1,315000
Eixample,100,2,535000
Gràcia,260,5,1050000
Horta-Guinardó,70,3,239000
Les Corts,400,4,1790000
Ciutat Vella,111,1,1150000
Eixample,149,2,1900000
Sant Martí,90,4,345000
Eixample,76,3,460000
Eixample,140,3,2500000
Sarrià-Sant Gervasi,197,4,1570000
Sants-Montjuïc,100,2,385000
Sarrià-Sant Gervasi,128,3,759000
Sant Andreu,65,3,225000
Ciutat Vella,95,2,370000
Sants-Montjuïc,81,3,230000
Eixample,89,3,475000
Ciutat Vella,33,1,132000
Horta-Guinardó,118,3,395000
Sarrià-Sant Gervasi,131,4,660000
Les Corts,65,2,450000
Sarrià-Sant Gervasi,332,5,1395000
Eixample,86,2,440000
Eixample,100,3,640000
Eixample,123,3,850000
Ciutat Vella,40,1,179000
Eixample,135,3,890000
Eixample,158,3,1495000
Eixample,180,4,795000
Horta-Guinardó,66,1,220000
Sarrià-Sant Gervasi,208,4,1095000
Eixample,227,3,1995000
Eixample,85,1,240000
Les Corts,190,4,860000
Gràcia,60,2,160000
Sants-Montjuïc,60,3,220000
Ciutat Vella,96,2,375000
Sants-Montjuïc,92,3,375000
Eixample,180,4,695000
Les Corts,78,4,255000
Ciutat Vella,64,2,200000
Les Corts,143,4,1010000
Sarrià-Sant Gervasi,207,3,755000
Ciutat Vella,175,5,990000
Sants-Montjuïc,480,4,1450000
Les Corts,72,2,495000
Eixample,265,3,2300000
Sarrià-Sant Gervasi,132,4,780000
Eixample,105,2,699000
Les Corts,60,2,358000
Sants-Montjuïc,72,3,279000
Sarrià-Sant Gervasi,340,5,2650000
Ciutat Vella,102,1,386000
Nou Barris,72,3,179500
Eixample,115,4,560000
Sant Martí,67,3,205000
Sant Martí,73,3,218000
Sant Martí,170,4,453000
Sarrià-Sant Gervasi,177,4,997000
Eixample,200,3,2100000
Les Corts,85,3,320000
Ciutat Vella,150,2,495000
Les Corts,55,3,259000
Ciutat Vella,60,3,160000
Sarrià-Sant Gervasi,155,4,1100000
Eixample,135,3,639000
Eixample,112,4,560000
Horta-Guinardó,69,3,204000
Sarrià-Sant Gervasi,140,2,1500000
Eixample,108,1,550000
Eixample,33,1,230000
Sants-Montjuïc,77,3,245000
Sarrià-Sant Gervasi,335,4,1490000
